"Commodity","Year","Correlation","Covariance"
"Maize",2005,0.809252512632621,1575074751078479
"Maize",2006,0.806244103234578,1422369778619536
"Maize",2007,0.659857296113188,1011164581244293
"Maize",2008,0.626058370559195,1094543848585778
"Maize",2009,0.840947609866061,1232559489419766
"Maize",2010,0.767596193830246,1753699250129745
"Maize",2011,0.820264684796065,2238681165425692
"Maize",2012,0.805055352082731,2045047883846937
"Maize",2013,0.756451016603463,1509903911621067
"Maize",2014,0.763002121355818,1953527419585307
"Maize",2015,0.710773939447616,3169421784461715
"Maize",2016,0.829954749747857,3491553782392105
"Maize",2017,0.750332276522312,2360709685346081
"Maize",2018,0.7242819625424,2058467966918274
"Maize",2019,0.74266598048828,2097314182371122
"Maize",2020,0.741027739434347,2097826747627061
"Oats",2005,0.596638796324656,1340205337227406
"Oats",2006,0.574784641533309,1044244721021858
"Oats",2007,0.441416980455584,1612410302128171
"Oats",2008,0.768839082885888,932668398159626
"Oats",2009,0.812114897485571,1884577861080851
"Oats",2010,0.538393952253273,1561707769876455
"Oats",2011,0.628577995678609,1381350749769518
"Oats",2012,0.657565103594018,1633376495363901
"Oats",2013,0.490395672104933,785272949645982
"Oats",2014,0.722894471894855,1028996495054598
"Oats",2015,0.715069450222716,1986011517665703
"Oats",2016,0.724162907610544,2134677539329741
"Oats",2017,0.832205932472543,1271380682000791
"Oats",2018,0.675894281145754,1508950244952234
"Oats",2019,0.702955413270915,1384044598830338
"Oats",2020,0.768583450180317,1125922946892823
"Rice",2005,0.992208996476588,174494514338769056
"Rice",2006,0.99104742593722,149235346694287296
"Rice",2007,0.993233928154696,132454783083256000
"Rice",2008,0.945887019168065,104734996382685488
"Rice",2009,0.971271877427098,116399964121446976
"Rice",2010,0.964232511535701,133926206815759616
"Rice",2011,0.959744651335289,146976391864241248
"Rice",2012,0.982423647332662,254075635095627488
"Rice",2013,0.985460490014667,175166074664013760
"Rice",2014,0.977941873964259,122279964262584096
"Rice",2015,0.952331472094456,104848531587238768
"Rice",2016,0.962629441093916,130989960360683232
"Rice",2017,0.964500439959033,144063611567776592
"Rice",2018,0.981095440021887,188907657484680736
"Rice",2019,0.975533043317639,217341877601430752
"Rice",2020,0.975067337593312,219677038222712288
"Sugar",2005,0.532375739596223,8397609384116742
"Sugar",2006,0.573461347252091,8866463513208011
"Sugar",2007,0.720686799975763,7056184511277873
"Sugar",2008,0.651742872282759,6428331264311457
"Sugar",2009,0.558044157655525,5112582046141080
"Sugar",2010,0.580097871612109,13008451388718406
"Sugar",2011,0.527359527753234,9042327855811082
"Sugar",2012,0.627806882513415,11296694992645348
"Sugar",2013,0.633285029553198,12242682772080328
"Sugar",2014,0.682441374677351,9015918618052960
"Sugar",2015,0.749655691981466,17921922988008426
"Sugar",2016,0.620427857708816,18205749323543940
"Sugar",2017,0.661105449357371,17692560170385334
"Sugar",2018,0.723027726749189,19213808198774516
"Sugar",2019,0.669400834003456,17532814217428418
"Sugar",2020,0.682724908837928,16412390028386440
"Soybeans",2005,0.940680610731544,290651442317083456
"Soybeans",2006,0.930713801520215,306649216782950784
"Soybeans",2007,0.871198141960793,317493500477879424
"Soybeans",2008,0.880767572686816,164802565017970016
"Soybeans",2009,0.775713826396202,102625027619833920
"Soybeans",2010,0.94556905373929,487849053126092672
"Soybeans",2011,0.933435368252592,379441979558243520
"Soybeans",2012,0.971993386918387,585895680332237696
"Soybeans",2013,0.958290232532621,287326997610702144
"Soybeans",2014,0.90558897845727,261465837181084064
"Soybeans",2015,0.844975067787064,167765091841568384
"Soybeans",2016,0.874133113696074,213429402736725376
"Soybeans",2017,0.944773823057344,332982294074001152
"Soybeans",2018,0.953084193858738,332879715580784832
"Soybeans",2019,0.942197507991664,387554851769156928
"Soybeans",2020,0.92454425210509,392143806356005504
"Beef and veal",2005,0.802103020752657,1591543246586060288
"Beef and veal",2006,0.81794454647651,1653153433974485504
"Beef and veal",2007,0.843263679637687,1554091725303492608
"Beef and veal",2008,0.892708032358499,1308832407203514368
"Beef and veal",2009,0.913487689263168,1351938359167166464
"Beef and veal",2010,0.887776650164186,1897410657138187264
"Beef and veal",2011,0.866598311208356,1723425387946813184
"Beef and veal",2012,0.825156225630013,1724031585273886208
"Beef and veal",2013,0.789867155983835,1624733337568397056
"Beef and veal",2014,0.864387023039448,2258063387123221760
"Beef and veal",2015,0.816568908779365,2562967608204612096
"Beef and veal",2016,0.833911818522589,3705413046950990336
"Beef and veal",2017,0.879950637058392,3154232523576799744
"Beef and veal",2018,0.90039100074653,2688097043239398912
"Beef and veal",2019,0.890276803953908,3117783545061637632
"Beef and veal",2020,0.916697008682165,3453547851797374976
"Coffee",2005,0.0125409589052653,488427517958184
"Coffee",2006,0.760309397262453,8478606472548121
"Coffee",2007,0.713457784431946,36464425714893712
"Coffee",2008,0.704016328582803,82540526381173504
"Coffee",2009,0.892297174621084,98032607619013536
"Coffee",2010,0.899042213741652,116485485357652800
"Coffee",2011,0.765896059819268,204452710396665120
"Coffee",2012,0.449449374091742,15902395057411640
"Coffee",2013,0.410528629950278,17253596757255102
"Coffee",2014,0.280203149852476,16989584138314368
"Coffee",2015,0.289827093037226,21472294079936036
"Coffee",2016,0.330446740046256,18901067130322184
"Coffee",2017,0.314689666882259,23821053082517172
"Coffee",2018,0.400451711205933,25086230629986124
"Coffee",2019,0.36813367170884,29182915016365272
"Coffee",2020,0.280117845765832,19822947594734036
